id,delivery_time
8495,441.5375917905624
8496,625.9027024163917
8497,667.719262609939
8498,1165.4825941823055
8499,819.9905987974442
8500,883.7369113814461
8501,635.5621479517215
8502,894.9751722036129
8503,519.856257250103
8504,354.607363932636
8505,1575.593173138738
8506,526.1478562300871
8507,1203.4025425261011
8508,1280.3712163954465
8509,841.4104904180356
8510,878.5522214038116
8511,596.1938272332244
8512,629.0223907751607
8513,616.6968922719437
8514,335.36707186604247
8515,1193.0281142664526
8516,365.4406479582509
8517,1105.428933732934
8518,348.2609134060383
8519,294.35815766831206
8520,905.4531214512613
8521,1748.9435358212047
8522,1514.1919346992017
8523,853.7031480511233
8524,449.4189902615016
8525,1500.9997649053307
8526,841.3207351617681
8527,1035.196395053476
8528,320.9812807935529
8529,1289.236020435447
8530,1143.5279912946528
8531,713.8638896574273
8532,469.7405733497371
8533,678.2323660897923
8534,1428.8266095848596
8535,511.0831913321887
8536,696.0839856015587
8537,404.076051979883
8538,392.3276298840049
8539,1415.1931706670093
8540,380.67804889554895
8541,550.2534757658493
8542,758.6030838867018
8543,452.2633808477385
8544,381.928442256402
8545,270.92480556736865
8546,1931.1332848076424
8547,212.18079065142803
8548,358.2451584760271
8549,525.0946529842706
8550,807.7422967032967
8551,723.168740712203
8552,849.132012129067
8553,1251.7711449661447
8554,332.2467556724322
8555,538.0985904087742
8556,302.784166147578
8557,804.4920731184451
8558,428.2992694315058
8559,730.6072296886124
8560,671.4094150490033
8561,292.896265522876
8562,644.894016801009
8563,931.1206691878383
8564,1310.0511810537673
8565,422.9070771918141
8566,1198.8117632506376
8567,1166.729739791254
8568,838.6744778701693
8569,1128.341086423381
8570,740.9125820332058
8571,752.599536855688
8572,555.6794661057896
8573,880.4417588661339
8574,332.9018529449567
8575,657.1796015406161
8576,593.2075459409871
8577,507.0822331059463
8578,957.1459064006167
8579,1202.4250625454695
8580,414.029312040213
8581,793.2819540078943
8582,1398.4550785766523
8583,827.2548417685255
8584,736.8182042777485
8585,695.8649929091378
8586,417.47759114058454
8587,343.01159672637294
