id,town,start_Longitude,start_Latitude,end_Longitude,end_Latitude
5622,Hawkins,-73.9922256469727,40.747615814209,-73.9856491088867,40.7670097351074
1509,Hawkins,-73.982780456543,40.7634010314941,-73.9820709228516,40.7736282348633
1034,Hawkins,-73.9985809326172,40.7261505126953,-73.9862518310547,40.7518997192383
702,Hawkins,-73.9465560913086,40.7723693847656,-73.9687652587891,40.7578964233398
6654,Hawkins,-73.95458984375,40.7841339111328,-73.9608459472656,40.7745971679688
5972,Hawkins,-73.991813659668,40.7544822692871,-73.9921722412109,40.7355728149414
5708,Hawkins,-73.9941253662109,40.7511138916016,-73.9781265258789,40.759204864502
5980,Hawkins,-73.9989776611328,40.7230606079102,-73.9886703491211,40.7371292114258
3798,Hawkins,-73.9692001342774,40.7576217651367,-73.992057800293,40.7591094970703
6733,Hawkins,-73.9972457885742,40.7143821716309,-73.9770126342773,40.764102935791
6351,Hawkins,-74.0012817382813,40.7571678161621,-73.9756774902344,40.7579460144043
5175,Hawkins,-73.9750595092774,40.7556114196777,-73.9233093261719,40.7604713439941
2717,Hawkins,-73.9812774658203,40.7646408081055,-73.988639831543,40.7572402954102
1205,Hawkins,-73.967658996582,40.7532768249512,-73.9760208129883,40.7622909545898
5754,Hawkins,-73.9696731567383,40.7577209472656,-73.9831237792969,40.7667274475098
6999,Hawkins,-73.9697265625,40.7973403930664,-73.9803009033203,40.7830963134766
8489,Hawkins,-74.0064697265625,40.7332229614258,-73.9870300292969,40.730037689209
4634,Hawkins,-74.0047149658203,40.741943359375,-73.9878005981445,40.7412338256836
2325,Hawkins,-73.9735107421875,40.7615394592285,-73.9361877441406,40.8080062866211
5713,Hawkins,-73.9866256713867,40.7616271972656,-73.9075698852539,40.887939453125
4524,Hawkins,-73.974983215332,40.7513275146484,-73.978645324707,40.7651023864746
2030,Hawkins,-74.0061645507813,40.7342910766602,-73.99072265625,40.7341117858887
3614,Hawkins,-73.8747253417969,40.7740631103516,-73.9820098876953,40.7640380859375
4827,Hawkins,-73.9800567626953,40.7466239929199,-73.8613510131836,40.7680740356445
4099,Hawkins,-73.9913177490234,40.7327079772949,-73.9898147583008,40.7471199035645
7376,Hawkins,-73.982666015625,40.7770881652832,-73.9655456542969,40.8007431030273
7499,Hawkins,-73.9570770263672,40.7828483581543,-73.9825973510742,40.7647895812988
