id,delivery_time
8495,606.2656
8496,682.0547
8497,675.78906
8498,912.78125
8499,717.3203
8500,718.0781
8501,634.78906
8502,716.72656
8503,661.8047
8504,570.4375
8505,1329.7109
8506,639.6719
8507,998.5625
8508,1018.71875
8509,725.7031
8510,720.46875
8511,639.96875
8512,714.5469
8513,601.84375
8514,695.66406
8515,993.02344
8516,612.60156
8517,849.3281
8518,576.52344
8519,568.5703
8520,754.2578
8521,1269.8594
8522,1180.3438
8523,765.875
8524,648.9922
8525,1721.1328
8526,755.83594
8527,875.72656
8528,565.2344
8529,847.4453
8530,861.9922
8531,741.41406
8532,633.7656
8533,740.9219
8534,1072.5234
8535,625.90625
8536,672.7656
8537,577.6797
8538,565.71094
8539,873.83594
8540,577.1328
8541,651.1328
8542,731.7656
8543,658.53125
8544,586.2422
8545,604.46875
8546,1523.9375
8547,553.33594
8548,609.77344
8549,728.9922
8550,756.1953
8551,655.72656
8552,703.02344
8553,1018.3906
8554,614.46875
8555,630.66406
8556,561.03125
8557,837.3672
8558,605.8281
8559,680.5469
8560,632.7969
8561,561.02344
8562,697.5156
8563,783.66406
8564,957.4844
8565,644.1172
8566,895.3828
8567,902.3047
8568,719.2969
8569,818.4844
8570,1009.28125
8571,707.3047
8572,671.1328
8573,708.21094
8574,569.4375
8575,672.8047
8576,646.9922
8577,611.78125
8578,795.1094
8579,950.9219
8580,592.5781
8581,652.2031
8582,974.4297
8583,674.6719
8584,631.3906
8585,653.2344
8586,625.0547
8587,574.6094
8588,636.53125
8589,934.5703
8590,889.3125
8591,605.625
8592,709.71094
8593,579.91406
8594,668.9922
8595,695.03906
8596,641.6094
8597,669.8594
8598,603.5547
8599,779.47656
8600,1070.6875
8601,633.90625
8602,631.1328
8603,704.7422
8604,680.8672
8605,701.1719
8606,652.8203
8607,799.71875
8608,821.27344
8609,1106.2734
8610,642.41406
8611,758.3125
8612,597.60156
8613,657.6719
8614,641.6953
8615,725.7422
8616,787.16406
8617,641.1328
8618,635.5469
8619,834.53125
8620,684.125
8621,859.83594
8622,659.71875
8623,576.22656
8624,548.1875
8625,663.4297
8626,758.46875
8627,652.97656
8628,1245.125
8629,718.0547
8630,694.3672
8631,724.5547
8632,1150.5469
8633,692.8047
8634,819.78906
8635,706.7969
8636,604.65625
8637,816.97656
8638,613.1875
8639,594.875
8640,1055.0625
8641,682.7422
8642,885.5547
8643,697.1328
8644,626.875
8645,565.27344
8646,748.03125
8647,618.6875
8648,687.27344
8649,691.7656
8650,836.2031
8651,699.6406
8652,713.14844
8653,622.9531
8654,786.125
8655,698.7656
8656,691.33594
8657,658.7969
8658,1144.6484
8659,605.96875
8660,684.125
8661,652.5
8662,642.03125
8663,646.16406
8664,838.85156
8665,1145.9453
8666,592.3125
8667,1903.0078
8668,568.8047
8669,641.4297
8670,806.28906
8671,704.8125
8672,671.625
8673,660.3828
8674,810.5781
8675,595.78906
8676,1901.3516
8677,703.1328
8678,1880.2422
8679,620.7031
8680,566.03906
8681,859.5469
8682,602.6875
8683,528.35156
8684,752.1172
8685,616.46875
8686,693.0781
8687,698.1328
8688,640.33594
8689,543.5781
8690,643.0703
8691,650.10156
8692,585.3125
8693,1011.0078
8694,785.6094
8695,767.4922
8696,614.15625
8697,914.875
8698,697.875
8699,1540.7031
8700,845.1875
8701,596.28906
8702,613.5703
8703,644.5703
8704,783.83594
8705,769.47656
8706,708.0
8707,750.53906
8708,706.1875
8709,938.8047
8710,1166.7031
8711,643.39844
8712,622.7656
8713,679.03906
8714,994.9844
8715,668.2656
8716,709.03125
8717,797.21094
8718,755.34375
8719,634.3594
8720,622.27344
8721,940.2578
8722,709.1797
8723,619.7031
8724,1228.1484
8725,578.625
8726,643.0078
8727,1079.0938
8728,678.34375
8729,628.9297
8730,732.8594
8731,838.03125
8732,816.9922
8733,1125.2656
8734,608.2656
8735,787.3672
8736,754.8203
8737,794.1875
8738,698.6875
8739,876.71094
8740,710.2969
8741,561.5156
